#Centrality_min, Centrality_max, dN/dy, Stat. Uncert., Syst. Uncert., 〈pT〉, Stat. Uncert. ,Syst. Uncert.
0,5,1699.80,0.88,116.91,0.5682,0.0002,0.0320
5 ,10, 1377.49  ,0.71 ,66.90, 0.5711, 0.0002, 0.0181
10 ,20, 1039.47 ,0.46 ,47.36, 0.5704, 0.0002, 0.0174
20 ,30, 712.92  ,0.34 ,36.06, 0.5615, 0.0002, 0.0192
30 ,40, 467.76  ,0.26 ,23.97, 0.5525, 0.0002, 0.0198
40 ,50, 292.91  ,0.19 ,15.80, 0.5389, 0.0003, 0.0206
50 ,60, 171.14  ,0.18 ,9.77 ,0.5214 ,0.0004 ,0.0215
60 ,70, 88.82   ,0.10 ,5.21 ,0.5082 ,0.0004 ,0.0205
70 ,80, 41.69   ,0.07 ,2.49 ,0.4924 ,0.0006 ,0.0203
80 ,90, 16.31   ,0.04 ,0.91 ,0.4775 ,0.0008 ,0.0178